proteinID,gram
A0A023J3R2,1
A0A023MHA8,0
A0A023MHL5,0
A0A023NGE0,0
A0A023VTC7,0
A0A023W6J3,0
A0A023W6J8,0
A0A023W6P1,1
A0A023W6V3,1
A0A023W7C5,1
A0A023ZSL0,1
A0A023ZSL4,1
A0A023ZSM0,1
A0A023ZSM6,1
A0A023ZSN1,1
A0A023ZSN7,1
A0A023ZSP3,1
A0A023ZSP9,1
A0A023ZSQ3,1
A0A023ZSQ9,1
A0A023ZSY8,1
A0A023ZSZ4,1
A0A023ZSZ9,1
A0A023ZT04,1
A0A023ZT08,1
A0A023ZT14,1
A0A023ZT19,1
A0A023ZT24,1
A0A023ZT29,1
A0A023ZT33,1
A0A023ZT39,1
A0A023ZT58,1
A0A023ZT64,1
A0A023ZT70,1
A0A023ZT75,1
A0A023ZT81,1
A0A023ZT86,1
A0A023ZT90,1
A0A023ZT95,1
A0A023ZT99,1
A0A023ZTA5,1
A0A023ZTN0,1
A0A023ZTN4,1
A0A023ZTP0,1
A0A023ZTP6,1
A0A023ZTQ1,1
A0A023ZTQ6,1
A0A023ZTR2,1
A0A023ZTR9,1
A0A023ZTS5,1
A0A023ZTT1,1
A0A023ZU62,1
A0A023ZU68,1
A0A023ZU74,1
A0A023ZU79,1
A0A023ZU83,1
A0A023ZU85,0
A0A023ZU89,1
A0A023ZU91,0
A0A023ZU94,1
A0A023ZUA1,1
A0A023ZUA6,1
A0A023ZUB1,1
A0A023ZUK2,0
A0A023ZWD2,1
A0A023ZWN3,1
A0A023ZX36,0
A0A023ZXF1,1
A0A024AZX0,1
A0A024B030,1
A0A024B0U5,1
A0A024B1N9,1
A0A024B2H2,1
A0A024B3A4,1
A0A024B467,1
A0A059NT93,1
A0A059PAE0,1
A0A059PAE2,1
A0A059PAI9,1
A0A059PAL4,1
A0A059PAR2,1
A0A059PAX1,1
A0A059Q4E2,0
A0A059T5H8,1
A0A059T5J4,1
A0A059T6U5,1
A0A059T7M7,1
A0A059T7Q7,1
A0A059T7X1,1
A0A059T7Y8,1
A0A059T8F6,1
A0A059T8J1,1
A0A059T8T6,1
A0A059TAR3,1
A0A059VA40,0
A0A059VB09,1
A0A059VGR5,1
A0A059VJW5,0
A0A059VJX4,1
A0A059VKL5,1
A0A059WLJ5,0
A0A060AB53,1
A0A060AC40,1
A0A060AFE7,1
A0A060AHF9,1
A0A060AMM4,0
A0A060AMV8,0
A0A060AMY0,0
A0A060BDQ1,0
A0A060BHQ7,0
A0A060D1F2,0
A0A060DAL8,0
A0A060QRT9,1
A0A060RFI8,0
A0A067XGV1,1
A0A067XQI3,0
A0A067Y196,0
A0A067YW88,0
A0A067YXX6,0
A0A067YYB7,0
